s,d,w
63807,10131,11
63807,10013,21
11705,10131,5
11773,10131,8
12081,10521,4
12081,10131,9
12081,10013,14
12297,10055,40
12664,10131,11
12664,10013,3
12781,10521,4
12781,10131,19
12781,10013,26
13097,10055,9
13961,10055,32
14831,10055,20
14921,10055,5
14969,10131,21
14969,10013,26
15427,10521,9
15427,10131,30
15427,10013,73
15714,10521,3
15714,10013,17
15790,10055,3
15886,10055,32
16061,10521,3
16863,10131,3
17012,10055,41
17313,10131,13
17313,10013,10
17784,10131,21
17784,10013,17
17821,10131,3
17870,11294,3
18453,11294,3
18453,10543,26
18718,10131,4
18956,10055,17
19527,10131,3
19527,10013,10
21037,10131,12
21308,10131,3
21572,10131,29
21572,10013,15
23675,10055,13
23788,10131,21
25898,10543,10
27455,10270,5
27548,10131,5
30901,10543,3
31320,10521,4
31320,10131,8
31320,10013,9
32029,10055,35
32394,10055,24
32641,10055,40
36065,10055,4
100774,10055,6
176738,10131,4
15646,10521,3
16645,10055,20
16927,10055,16
18634,10543,8
21061,10521,3
21087,10543,5
21234,10521,10
21857,10055,12
14162,10055,3
15437,10055,6
15973,10055,27
16043,10521,4
16443,10055,15
16461,10055,12
19753,10055,7
22441,10055,9
22495,10521,3
22495,10013,9
22499,10055,13
23126,10055,15
23283,10055,20
23941,10055,10
25289,10055,5
29012,10055,6
24269,10055,6
13677,10055,23
16673,10055,6
16877,10055,26
17828,10055,13
19060,10055,18
19739,10131,23
19739,10013,32
20776,10131,8
21484,10055,12
22647,10521,6
22647,10013,4
23844,10131,28
23844,10013,7
26021,10131,8
28254,10131,15
31009,10131,3
32206,10270,6
32206,10543,9
53588191325,10055,6
23659,10131,29
23659,10013,5
27667,10131,8
13270,10521,12
13270,10131,17
13270,10013,27
15188,10131,8
15188,10013,25
19017,10521,41
19017,10131,5
19017,10013,63
22442,10131,7
11479,10521,13
11479,10131,15
11479,10013,20
11676,10131,13
11676,10013,28
12606,10131,18
12606,10013,21
14878,10131,16
14878,10013,32
15106,10131,7
15106,10013,11
16403,10521,11
16403,10543,4
16835,10521,23
16835,10131,3
16835,10013,35
20549,10521,9
37008,10013,4
37976,10521,9
37976,10131,18
37976,10013,21
16498,10055,24
21151,10521,11
21151,10131,14
21151,10013,55
18106,10055,14
11739,10778,5
11739,10064,9
11739,10017,16
16625,10778,48
16625,10064,5
16625,10017,50
16693,10067,42
17436,10064,13
17436,10017,26
12751,10778,7
12751,10064,16
12751,10017,15
12923,11294,3
12966,10064,6
12966,10017,4
13487,10778,3
13487,10064,14
13487,10017,25
13958,10778,5
13958,10064,8
13958,10017,32
13997,10064,14
13997,10017,11
15146,10067,14
16095,10017,4
16233,10067,14
16689,11294,3
16766,10778,7
16766,10064,18
16766,10017,76
18185,10017,22
18610,10067,3
18930,10064,3
19958,10778,47
19958,10064,11
19958,10017,71
19958,11294,6
19965,10064,4
20352,10064,21
20352,10017,26
20550,10067,6
20862,11294,10
20870,10778,23
20870,10064,16
20870,10017,70
21766,10064,4
21766,10017,23
22615,10064,37
22615,10017,21
24820,11294,8
25666,10017,4
26428,10067,25
27840,11294,4
31825,10067,25
32484,11294,3
32624,10067,4
38662,10067,30
39466,10064,4
45283,10067,23
50274,10067,37
55360,10067,8
154442,10064,21
154442,10017,28
24184,10067,4
11860,10064,6
11860,10017,9
12852,10064,13
12852,10017,24
15425,10064,17
15425,10017,21
17724,10778,6
17879,10064,14
17879,10017,12
18213,10067,19
20875,10064,22
20875,10017,23
21758,11294,11
24291,10064,23
24291,10017,14
24304,10064,8
31353,10067,22
32739,10067,8
43904,10067,33
53614,10778,4
53614,10064,18
53614,10017,29
15420,10064,12
15420,10017,31
19470,10064,13
23961,10064,5
23961,10017,25
25568,10067,6
26525,10064,7
27278,10064,24
151741,10064,10
16104,10067,20
16157,11294,8
16157,10067,10
22838,10064,4
23640,10064,31
23640,10017,8
28621,10067,13
30562,10778,4
31563,10766,3
31563,11294,10
32006,10067,11
39485,10766,4
39485,11294,11
55504,10064,23
63568,10067,8
104282,11294,3
104282,10067,12
154881,10064,36
154881,10017,7
15379,10778,3
16331,10067,20
16434,10067,7
17371,10067,10
20531,11294,10
22802,10017,4
23352,10067,14
41932,10067,25
52515,10064,10
76604,10067,11
14967,10778,15
14967,10017,16
22555,10064,6
22555,10017,19
18193,10064,6
18903,10067,5
19948,10067,5
20541,10067,7
31032,10067,6
53181849341,10067,21
177539,10067,10
30491,11294,6
23808,10067,6
